@RELATION ../FichierARFF

@ATTRIBUTE NbPixelsNoirs numeric
@ATTRIBUTE NbPixelsNoirs_1 numeric
@ATTRIBUTE NbPixelsNoirs_2 numeric
@ATTRIBUTE NbPixelsNoirs_3 numeric
@ATTRIBUTE NbPixelsNoirs_4 numeric
@ATTRIBUTE NbPixelsNoirs_5 numeric
@ATTRIBUTE NbPixelsNoirs_6 numeric
@ATTRIBUTE NbPixelsNoirs_7 numeric
@ATTRIBUTE NbPixelsNoirs_8 numeric
@ATTRIBUTE NbPixelsNoirs_9 numeric
@ATTRIBUTE Hauteur numeric
@ATTRIBUTE Largeur numeric
@ATTRIBUTE Air numeric
@ATTRIBUTE barycentreX numeric
@ATTRIBUTE barycentreY numeric
@ATTRIBUTE 1nbCercles numeric
@ATTRIBUTE 1CercleSize numeric
@ATTRIBUTE 1CercleX numeric
@ATTRIBUTE 1CercleY numeric
@ATTRIBUTE 2nbCercles numeric
@ATTRIBUTE 2CercleSize numeric
@ATTRIBUTE 2CercleX numeric
@ATTRIBUTE 2CercleY numeric
@ATTRIBUTE 3nbCercles numeric
@ATTRIBUTE 3CercleSize numeric
@ATTRIBUTE 3CercleX numeric
@ATTRIBUTE 3CercleY numeric
@ATTRIBUTE 4nbCercles numeric
@ATTRIBUTE 4CercleSize numeric
@ATTRIBUTE 4CercleX numeric
@ATTRIBUTE 4CercleY numeric
@ATTRIBUTE 5nbCercles numeric
@ATTRIBUTE 5CercleSize numeric
@ATTRIBUTE 5CercleX numeric
@ATTRIBUTE 5CercleY numeric
@ATTRIBUTE class {accident, bomb, car, casualty, electricity, fire, fireBrigade, flood, gas, injury, paramedics, person, police, roadBlock}

@DATA
5713,195,106,657,789,1528,1005,258,527,583,183,183,3263.5,109,212,1,21,109,153,1,21,109,153,0,-1,-1,-1,0,-1,-1,-1,1,21,109,153,accident
8293,529,513,756,1587,1975,1176,480,562,724,145,160,4811.5,99,212,2,80,133,113,1,103,123,158,1,57,142,67,1,57,142,67,1,103,123,158,accident
5296,59,425,561,854,1170,998,176,440,559,159,206,3470,101,207,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,accident
6346,358,459,874,960,1605,874,113,489,637,172,204,6480.5,82,219,2,82,115,132,2,82,115,132,0,-1,-1,-1,1,62,106,85,1,101,123,178,accident
6570,366,479,689,1294,1159,1136,332,479,651,176,195,4445,100,197,2,38,128,148,1,12,103,185,1,63,153,111,1,63,153,111,1,12,103,185,accident
10260,848,1122,1655,1149,973,1728,1201,858,1428,78,75,762,113,199,1,101,127,124,0,-1,-1,-1,1,101,127,124,0,-1,-1,-1,1,101,127,124,accident
7243,445,829,1095,1017,760,1280,227,972,848,103,82,942.5,108,186,1,99,122,124,1,99,122,124,0,-1,-1,-1,0,-1,-1,-1,1,99,122,124,accident
7415,759,970,1026,1223,801,1220,328,834,923,62,88,698,137,197,1,83,120,153,1,83,120,153,0,-1,-1,-1,0,-1,-1,-1,1,83,120,153,accident
5765,0,572,857,1341,806,1245,63,718,369,64,110,811,109,193,1,76,110,152,1,76,110,152,0,-1,-1,-1,0,-1,-1,-1,1,76,110,152,accident
7599,5,763,1111,1547,840,1093,526,872,927,73,100,942.5,136,214,1,51,157,177,0,-1,-1,-1,1,51,157,177,0,-1,-1,-1,1,51,157,177,accident
