@RELATION ../FichierARFF

@ATTRIBUTE NbPixelsNoirs numeric
@ATTRIBUTE NbPixelsNoirs_1 numeric
@ATTRIBUTE NbPixelsNoirs_2 numeric
@ATTRIBUTE NbPixelsNoirs_3 numeric
@ATTRIBUTE NbPixelsNoirs_4 numeric
@ATTRIBUTE NbPixelsNoirs_5 numeric
@ATTRIBUTE NbPixelsNoirs_6 numeric
@ATTRIBUTE NbPixelsNoirs_7 numeric
@ATTRIBUTE NbPixelsNoirs_8 numeric
@ATTRIBUTE NbPixelsNoirs_9 numeric
@ATTRIBUTE Hauteur numeric
@ATTRIBUTE Largeur numeric
@ATTRIBUTE Air numeric
@ATTRIBUTE barycentreX numeric
@ATTRIBUTE barycentreY numeric
@ATTRIBUTE barycentreX_1 numeric
@ATTRIBUTE barycentreY_1 numeric
@ATTRIBUTE barycentreX_2 numeric
@ATTRIBUTE barycentreY_2 numeric
@ATTRIBUTE barycentreX_3 numeric
@ATTRIBUTE barycentreY_3 numeric
@ATTRIBUTE barycentreX_4 numeric
@ATTRIBUTE barycentreY_4 numeric
@ATTRIBUTE barycentreX_5 numeric
@ATTRIBUTE barycentreY_5 numeric
@ATTRIBUTE barycentreX_6 numeric
@ATTRIBUTE barycentreY_6 numeric
@ATTRIBUTE barycentreX_7 numeric
@ATTRIBUTE barycentreY_7 numeric
@ATTRIBUTE barycentreX_8 numeric
@ATTRIBUTE barycentreY_8 numeric
@ATTRIBUTE barycentreX_9 numeric
@ATTRIBUTE barycentreY_9 numeric
@ATTRIBUTE 1nbCercles numeric
@ATTRIBUTE 1CercleSize numeric
@ATTRIBUTE 1CercleX numeric
@ATTRIBUTE 1CercleY numeric
@ATTRIBUTE 2nbCercles numeric
@ATTRIBUTE 2CercleSize numeric
@ATTRIBUTE 2CercleX numeric
@ATTRIBUTE 2CercleY numeric
@ATTRIBUTE 3nbCercles numeric
@ATTRIBUTE 3CercleSize numeric
@ATTRIBUTE 3CercleX numeric
@ATTRIBUTE 3CercleY numeric
@ATTRIBUTE 4nbCercles numeric
@ATTRIBUTE 4CercleSize numeric
@ATTRIBUTE 4CercleX numeric
@ATTRIBUTE 4CercleY numeric
@ATTRIBUTE 5nbCercles numeric
@ATTRIBUTE 5CercleSize numeric
@ATTRIBUTE 5CercleX numeric
@ATTRIBUTE 5CercleY numeric
@ATTRIBUTE linesX_1 numeric
@ATTRIBUTE linesY_1 numeric
@ATTRIBUTE linesAngle_1 numeric
@ATTRIBUTE linesLength_1 numeric
@ATTRIBUTE linesX_2 numeric
@ATTRIBUTE linesY_2 numeric
@ATTRIBUTE linesAngle_2 numeric
@ATTRIBUTE linesLength_2 numeric
@ATTRIBUTE linesX_3 numeric
@ATTRIBUTE linesY_3 numeric
@ATTRIBUTE linesAngle_3 numeric
@ATTRIBUTE linesLength_3 numeric
@ATTRIBUTE linesX_4 numeric
@ATTRIBUTE linesY_4 numeric
@ATTRIBUTE linesAngle_4 numeric
@ATTRIBUTE linesLength_4 numeric
@ATTRIBUTE linesX_5 numeric
@ATTRIBUTE linesY_5 numeric
@ATTRIBUTE linesAngle_5 numeric
@ATTRIBUTE linesLength_5 numeric
@ATTRIBUTE linesX_6 numeric
@ATTRIBUTE linesY_6 numeric
@ATTRIBUTE linesAngle_6 numeric
@ATTRIBUTE linesLength_6 numeric
@ATTRIBUTE class {accident, bomb, car, casualty, electricity, fire, fireBrigade, flood, gas, injury, paramedics, person, police, roadBlock}

@DATA
7.53225,0.305489,0.527915,1.04621,1.127,0.233096,1.11965,-0.207561,0.85526,0.128177,-0.198118,-0.201265,1.29644,-0.227495,-0.135167,-0.256872,-0.283102,-0.296741,-0.290446,-0.289397,-0.289397,-0.316675,-0.250577,-0.317725,-0.299888,-0.289397,-0.284151,-0.327167,-0.250577,-0.282052,-0.294643,-0.318774,-0.309331,-0.331364,-0.24638,-0.206511,-0.219102,-0.332413,-10,-10,-10,-0.331364,-0.24638,-0.206511,-0.219102,-0.331364,-0.24638,-0.206511,-0.219102,-0.332413,-10,-10,-10,-0.276282,-0.232216,-0.330231,-0.102717,-10,-10,-10,-10,-0.108413,-0.202315,-0.331423,-0.205445,-0.163495,-0.246905,-0.331742,-0.102221,-0.146708,-0.236413,-0.331743,-0.144188,-0.220151,-0.108938,-0.329518,-0.129013,accident
6.84577,-0.227479,0.332848,0.880598,1.07622,0.109975,0.70733,0.0484925,0.51939,0.918326,-0.262412,-0.265905,0.398871,-0.231671,-0.22678,-0.270796,-0.270097,-0.281276,-0.286865,-0.288961,-0.295249,-0.285468,-0.291057,-0.295249,-0.295249,-0.292454,-0.309222,-0.318305,-0.27918,-0.30503,-0.295249,-0.28966,-0.300838,-0.323894,-10,-10,-10,-0.323894,-10,-10,-10,-0.323894,-10,-10,-10,-0.323894,-10,-10,-10,-0.323894,-10,-10,-10,-0.269049,-0.243199,-0.322364,-0.137581,-0.265556,-0.241103,-0.322356,-0.142929,-0.184511,-0.235513,-0.32303,-0.15155,-10,-10,-10,-10,-10,-10,-10,-10,-0.243548,-0.18486,-0.323852,-0.162904,accident
4.01093,-0.301956,0.178767,0.473331,0.486384,0.225307,0.248577,-0.307632,0.0419851,0.505114,-0.240092,-0.24747,5.81208,-0.238957,-0.216822,-0.261659,-0.262227,-0.271875,-0.282091,-0.287767,-0.280956,-0.29174,-0.265065,-0.290037,-0.28947,-0.284929,-0.272443,-0.307632,-0.307632,-0.297416,-0.274146,-0.279821,-0.283227,-0.307632,-10,-10,-10,-0.307632,-10,-10,-10,-0.307632,-10,-10,-10,-0.307632,-10,-10,-10,-0.307632,-10,-10,-10,-0.269889,-0.236687,-0.306486,-0.165224,-0.259957,-0.252578,-0.306486,-0.200509,-0.206606,-0.235835,-0.307059,-0.164808,-10,-10,-10,-10,-10,-10,-10,-10,-0.23697,-0.178512,-0.307597,-0.166053,accident
7.6264,-0.235552,0.74182,0.670605,1.31277,0.727086,0.905125,-0.320274,0.598161,0.820403,-0.269932,-0.225729,0.369166,-0.0906653,-0.129957,-0.233096,-0.235552,-0.25397,-0.278527,-0.247831,-0.290806,-0.262565,-0.234324,-0.242919,-0.314135,-0.282211,-0.240464,-0.330097,-0.260109,-0.312907,-0.265021,-0.294489,-0.330097,-0.328869,-0.274844,-0.18521,-0.120134,-0.330097,-10,-10,-10,-0.328869,-0.274844,-0.18521,-0.120134,-0.330097,-10,-10,-10,-0.328869,-0.274844,-0.18521,-0.120134,-0.249059,-0.127501,-0.328285,-0.174687,-0.215906,-0.244147,-0.327507,-0.129629,-0.113381,-0.15083,-0.328591,-0.17358,-10,-10,-10,-10,-0.155742,-0.217748,-0.329284,-0.196238,-0.160039,-0.0390954,-0.329892,-0.211808,bomb
6.71205,-0.319861,0.643607,0.770326,1.59098,-0.394283,0.575219,-0.305781,0.549071,0.549071,-0.142856,-0.0221715,2.98791,-0.175039,-0.0784912,-0.257507,-0.255496,-0.305781,-0.335952,-0.307793,-0.323884,-0.335952,-0.277621,-0.392272,-0.329918,-0.319861,-0.269576,-0.408363,-0.255496,-0.354055,-0.339975,-0.370146,-0.354055,-0.412386,-0.249462,-0.197165,-0.132799,-0.412386,-0.249462,-0.197165,-0.132799,-0.414398,-10,-10,-10,-0.414398,-10,-10,-10,-0.412386,-0.249462,-0.197165,-0.132799,-0.31785,-0.110674,-0.410883,-0.210024,-0.089554,-0.255496,-0.412925,-0.173691,-0.0382629,-0.0312229,-0.410116,-0.217392,-10,-10,-10,-10,-10,-10,-10,-10,-0.0634056,0.0059883,-0.409754,-0.19656,bomb
2.42454,-0.242201,0.0102193,0.12663,0.202059,0.33985,0.132569,-0.214286,0.030413,0.0927756,-0.185777,-0.150142,7.39663,-0.16796,-0.141827,-0.242201,-0.242201,-0.203595,-0.206565,-0.206565,-0.218444,-0.201814,-0.214286,-0.21785,-0.230322,-0.216068,-0.19825,-0.21785,-0.21785,-0.23151,-0.209535,-0.229728,-0.220819,-0.241607,-0.203595,-0.176869,-0.140045,-0.241607,-0.203595,-0.176869,-0.140045,-0.242201,-10,-10,-10,-0.242201,-10,-10,-10,-0.241607,-0.203595,-0.176869,-0.140045,-10,-10,-10,-10,-0.154596,-0.204486,-0.241262,-0.190526,-0.131433,-0.151923,-0.241487,-0.191244,-10,-10,-10,-10,-0.178056,-0.175681,-0.240735,-0.152598,-0.170335,-0.0987668,-0.242137,-0.192025,bomb
7.0771,-0.229874,1.66406,0.413305,0.0136151,0.678616,0.897987,0.386889,0.676319,0.295006,-0.234468,-0.279261,0.651052,-0.232171,-0.187378,-0.258588,-0.258588,-0.298786,-0.281558,-0.276964,-0.326351,-0.257439,-0.271221,-0.304529,-0.265479,-0.25629,-0.329797,-0.304529,-0.268924,-0.271221,-0.288449,-0.306826,-0.343579,-0.345876,-0.328648,-0.25629,-0.180487,-0.345876,-0.328648,-0.25629,-0.180487,-0.347025,-10,-10,-10,-0.347025,-10,-10,-10,-0.345876,-0.328648,-0.25629,-0.180487,-10,-10,-10,-10,-10,-10,-10,-10,-0.072525,-0.210349,-0.345414,-0.223537,-10,-10,-10,-10,-0.204032,-0.161536,-0.346992,-0.0609267,-0.200587,-0.152922,-0.347006,-0.0678931,car
5.78502,-0.266962,0.951988,1.00253,0.0149323,0.399864,0.0985286,0.228783,1.06863,-0.403049,-0.00645277,-0.181422,4.65355,-0.160037,-0.160037,-0.253353,-0.255297,-0.282515,-0.266962,-0.255297,-0.368055,-0.280571,-0.27085,-0.296123,-0.257241,-0.373887,-0.397217,-0.311676,-0.280571,-0.373887,-0.278627,-0.403049,-0.403049,-0.401105,-0.381664,-0.263074,-0.111434,-0.401105,-0.381664,-0.263074,-0.111434,-0.403049,-10,-10,-10,-0.403049,-10,-10,-10,-0.401105,-0.381664,-0.263074,-0.111434,-0.31362,-0.169757,-0.398711,-0.112161,-10,-10,-10,-10,-10,-10,-10,-10,-0.0579714,-0.281543,-0.402725,-0.203933,-0.161009,-0.090049,-0.402816,0.0845324,-0.18531,-0.0774124,-0.402816,0.0355813,car
7.40569,0.253942,0.990964,0.327229,0.396368,0.863748,0.253942,0.524967,1.12786,-0.130471,-0.138768,-0.218969,1.88217,-0.196845,-0.119409,-0.279812,-0.268749,-0.314381,-0.245242,-0.28396,-0.324061,-0.296405,-0.270132,-0.306084,-0.246625,-0.282577,-0.314381,-0.292257,-0.265984,-0.288108,-0.290874,-0.340654,-0.336506,-0.350333,-0.312998,-0.232797,-0.13462,-0.351716,-0.324061,-0.303319,-0.133237,-0.351716,-0.314381,-0.176103,-0.14983,-0.353099,-10,-10,-10,-0.350333,-0.312998,-0.232797,-0.13462,-0.312998,-0.225192,-0.350086,-0.213083,-10,-10,-10,-10,-0.0378249,-0.212747,-0.351537,-0.217016,-0.153287,-0.267367,-0.353086,-0.0640845,-0.180943,-0.156744,-0.352988,-0.00767763,-10,-10,-10,-10,car
6.64874,0.327174,0.707462,-0.173726,0.447788,0.715975,0.627999,1.19843,0.156896,-0.152442,-0.0786546,-0.0843305,4.3883,-0.185078,-0.185078,-0.256027,-0.258865,-0.263122,-0.338328,-0.258865,-0.305692,-0.314206,-0.305692,-0.361032,-0.247513,-0.315625,-0.324139,-0.304273,-0.304273,-0.339747,-0.346842,-0.344004,-0.264541,-0.361032,-0.292921,-0.199268,-0.301435,-0.362451,-10,-10,-10,-0.361032,-0.292921,-0.199268,-0.301435,-0.361032,-0.292921,-0.199268,-0.301435,-0.362451,-10,-10,-10,-0.295049,-0.192883,-0.361073,-0.123547,-0.143218,-0.195721,-0.35919,0.0274826,-0.118386,-0.222681,-0.359199,-0.0578322,-0.0921349,-0.246094,-0.359174,-0.116377,-0.110582,-0.228357,-0.359185,-0.0590077,-0.189335,-0.0871685,-0.361516,-0.107571,casualty
