@RELATION ../FichierARFF

@ATTRIBUTE NbPixelsNoirs numeric
@ATTRIBUTE NbPixelsNoirs_1 numeric
@ATTRIBUTE NbPixelsNoirs_2 numeric
@ATTRIBUTE NbPixelsNoirs_3 numeric
@ATTRIBUTE NbPixelsNoirs_4 numeric
@ATTRIBUTE NbPixelsNoirs_5 numeric
@ATTRIBUTE NbPixelsNoirs_6 numeric
@ATTRIBUTE NbPixelsNoirs_7 numeric
@ATTRIBUTE NbPixelsNoirs_8 numeric
@ATTRIBUTE NbPixelsNoirs_9 numeric
@ATTRIBUTE Hauteur numeric
@ATTRIBUTE Largeur numeric
@ATTRIBUTE Air numeric
@ATTRIBUTE barycentreX numeric
@ATTRIBUTE barycentreY numeric
@ATTRIBUTE barycentreX_1 numeric
@ATTRIBUTE barycentreY_1 numeric
@ATTRIBUTE barycentreX_2 numeric
@ATTRIBUTE barycentreY_2 numeric
@ATTRIBUTE barycentreX_3 numeric
@ATTRIBUTE barycentreY_3 numeric
@ATTRIBUTE barycentreX_4 numeric
@ATTRIBUTE barycentreY_4 numeric
@ATTRIBUTE barycentreX_5 numeric
@ATTRIBUTE barycentreY_5 numeric
@ATTRIBUTE barycentreX_6 numeric
@ATTRIBUTE barycentreY_6 numeric
@ATTRIBUTE barycentreX_7 numeric
@ATTRIBUTE barycentreY_7 numeric
@ATTRIBUTE barycentreX_8 numeric
@ATTRIBUTE barycentreY_8 numeric
@ATTRIBUTE barycentreX_9 numeric
@ATTRIBUTE barycentreY_9 numeric
@ATTRIBUTE 1nbCercles numeric
@ATTRIBUTE 1CercleSize numeric
@ATTRIBUTE 1CercleX numeric
@ATTRIBUTE 1CercleY numeric
@ATTRIBUTE 2nbCercles numeric
@ATTRIBUTE 2CercleSize numeric
@ATTRIBUTE 2CercleX numeric
@ATTRIBUTE 2CercleY numeric
@ATTRIBUTE 3nbCercles numeric
@ATTRIBUTE 3CercleSize numeric
@ATTRIBUTE 3CercleX numeric
@ATTRIBUTE 3CercleY numeric
@ATTRIBUTE 4nbCercles numeric
@ATTRIBUTE 4CercleSize numeric
@ATTRIBUTE 4CercleX numeric
@ATTRIBUTE 4CercleY numeric
@ATTRIBUTE 5nbCercles numeric
@ATTRIBUTE 5CercleSize numeric
@ATTRIBUTE 5CercleX numeric
@ATTRIBUTE 5CercleY numeric
@ATTRIBUTE linesX_1 numeric
@ATTRIBUTE linesY_1 numeric
@ATTRIBUTE linesAngle_1 numeric
@ATTRIBUTE linesLength_1 numeric
@ATTRIBUTE linesX_2 numeric
@ATTRIBUTE linesY_2 numeric
@ATTRIBUTE linesAngle_2 numeric
@ATTRIBUTE linesLength_2 numeric
@ATTRIBUTE linesX_3 numeric
@ATTRIBUTE linesY_3 numeric
@ATTRIBUTE linesAngle_3 numeric
@ATTRIBUTE linesLength_3 numeric
@ATTRIBUTE linesX_4 numeric
@ATTRIBUTE linesY_4 numeric
@ATTRIBUTE linesAngle_4 numeric
@ATTRIBUTE linesLength_4 numeric
@ATTRIBUTE linesX_5 numeric
@ATTRIBUTE linesY_5 numeric
@ATTRIBUTE linesAngle_5 numeric
@ATTRIBUTE linesLength_5 numeric
@ATTRIBUTE linesX_6 numeric
@ATTRIBUTE linesY_6 numeric
@ATTRIBUTE linesAngle_6 numeric
@ATTRIBUTE linesLength_6 numeric
@ATTRIBUTE class {accident, bomb, car, casualty, electricity, fire, fireBrigade, flood, gas, injury, paramedics, person, police, roadBlock}

@DATA
8.12486,-0.0306384,0.658048,1.09885,1.19006,0.591401,0.605432,-0.169779,0.766788,1.14212,-0.145225,-0.163933,1.17076,-0.15224,-0.0703928,-0.194333,-0.200179,-0.227072,-0.234087,-0.236426,-0.216549,-0.236426,-0.235257,-0.249288,-0.23058,-0.234087,-0.209533,-0.279688,-0.194333,-0.251626,-0.236426,-0.221226,-0.235257,-0.283196,-0.294888,-0.294888,-0.294888,-0.283196,-0.294888,-0.294888,-0.294888,-0.283196,-0.294888,-0.294888,-0.294888,-0.283196,-0.294888,-0.294888,-0.294888,-0.283196,-0.294888,-0.294888,-0.294888,-0.213626,-0.143471,-0.280773,-0.00427215,-0.150486,-0.117747,-0.28135,-0.162758,-0.0692236,-0.147563,-0.282041,-0.00300554,-0.294888,-0.294888,-0.294888,-0.294888,-0.294888,-0.294888,-0.294888,-0.294888,-0.133532,-0.0224537,-0.283138,0.000109658,accident
8.12039,0.345296,0.570993,0.784696,1.5054,0.538283,0.566632,-0.200955,0.647316,1.06055,-0.14971,-0.146439,1.27861,-0.163884,-0.0559424,-0.207497,-0.221671,-0.244568,-0.238026,-0.232575,-0.210768,-0.260923,-0.208588,-0.235846,-0.235846,-0.238026,-0.196594,-0.278368,-0.196594,-0.254381,-0.236936,-0.224942,-0.230394,-0.280549,-0.291452,-0.291452,-0.291452,-0.280549,-0.291452,-0.291452,-0.291452,-0.280549,-0.291452,-0.291452,-0.291452,-0.280549,-0.291452,-0.291452,-0.291452,-0.280549,-0.291452,-0.291452,-0.291452,-0.223852,-0.171517,-0.278315,-0.034764,-0.0990102,-0.196049,-0.279361,-0.089864,-0.0859263,-0.157888,-0.279382,-0.000962466,-0.291452,-0.291452,-0.291452,-0.291452,-0.291452,-0.291452,-0.291452,-0.291452,-0.163884,-0.0221424,-0.280454,-0.0791725,accident
8.13301,0.244607,0.590915,0.829148,1.21032,0.574646,0.482839,-0.196995,0.758259,1.25797,-0.148186,-0.142376,1.26726,-0.157483,-0.0401101,-0.200481,-0.221399,-0.23302,-0.234182,-0.226048,-0.203968,-0.23302,-0.248128,-0.259749,-0.234182,-0.239993,-0.191184,-0.280667,-0.193509,-0.253938,-0.235345,-0.224886,-0.226048,-0.282991,-0.294612,-0.294612,-0.294612,-0.282991,-0.294612,-0.294612,-0.294612,-0.282991,-0.294612,-0.294612,-0.294612,-0.282991,-0.294612,-0.294612,-0.294612,-0.282991,-0.294612,-0.294612,-0.294612,-0.221399,-0.160388,-0.280727,-0.0190693,-0.104026,-0.199319,-0.281717,-0.0948441,-0.0668387,-0.13947,-0.281681,0.0039465,-0.294612,-0.294612,-0.294612,-0.294612,-0.294612,-0.294612,-0.294612,-0.294612,-0.146443,-0.00176053,-0.282967,-0.056332,accident
4.07468,-0.215251,0.228578,0.541503,0.666797,0.19554,0.239175,-0.238939,0.313354,0.392521,-0.1685,-0.174733,7.49597,-0.167876,-0.152292,-0.194681,-0.196551,-0.207771,-0.218368,-0.223978,-0.214005,-0.222108,-0.196551,-0.195304,-0.242056,-0.218992,-0.210265,-0.244549,-0.194681,-0.225848,-0.217121,-0.212758,-0.225848,-0.243926,-0.225848,-0.156656,-0.178473,-0.244549,-0.250783,-0.250783,-0.250783,-0.243926,-0.225848,-0.156656,-0.178473,-0.243926,-0.225848,-0.156656,-0.178473,-0.244549,-0.250783,-0.250783,-0.250783,-0.208706,-0.166941,-0.243334,-0.0881651,-0.191876,-0.194681,-0.243327,-0.151477,-0.135462,-0.18159,-0.243989,-0.0963792,-0.250783,-0.250783,-0.250783,-0.250783,-0.250783,-0.250783,-0.250783,-0.250783,-0.166941,-0.109281,-0.24446,-0.0877197,accident
7.54497,-0.162619,0.643608,0.938464,0.887185,0.744742,0.747591,2.78737,0.37724,1.02108,-0.127008,-0.164043,1.63216,-0.148375,-0.042967,-0.218172,-0.225294,-0.255207,-0.269451,-0.275149,-0.252358,-0.300789,-0.25948,-0.286544,-0.255207,-0.2723,-0.258056,-0.2723,-0.2723,-0.296515,-0.252358,-0.256631,-0.276573,-0.330702,-0.344946,-0.344946,-0.344946,-0.330702,-0.344946,-0.344946,-0.344946,-0.330702,-0.344946,-0.344946,-0.344946,-0.330702,-0.344946,-0.344946,-0.344946,-0.330702,-0.344946,-0.344946,-0.344946,-0.258768,-0.151936,-0.327842,-0.00507704,-0.0942464,-0.157633,-0.329491,0.0276123,-0.092822,-0.164756,-0.32949,0.023592,-0.344946,-0.344946,-0.344946,-0.344946,-0.344946,-0.344946,-0.344946,-0.344946,-0.15336,-0.016615,-0.330673,0.0240527,accident
8.24555,0.0232929,0.658241,0.919367,1.14751,0.33756,0.682979,0.310073,0.6729,1.19149,-0.199351,-0.203932,0.56112,-0.164534,-0.13155,-0.214927,-0.218592,-0.245163,-0.245163,-0.251576,-0.251576,-0.246079,-0.220424,-0.241498,-0.210346,-0.245163,-0.229587,-0.268985,-0.228671,-0.235084,-0.246995,-0.230503,-0.234168,-0.279979,-0.248828,-0.159037,-0.170948,-0.281812,-0.290974,-0.290974,-0.290974,-0.279979,-0.248828,-0.159037,-0.170948,-0.280896,-0.230503,-0.150791,-0.212178,-0.280896,-0.276315,-0.175529,-0.13888,-0.222257,-0.188815,-0.279842,-0.0680944,-0.132008,-0.233252,-0.280885,-0.186731,-0.108186,-0.195228,-0.280906,-0.0833427,-0.290974,-0.290974,-0.290974,-0.290974,-0.290974,-0.290974,-0.290974,-0.290974,-0.167741,-0.0820736,-0.28163,-0.0491164,accident
7.94379,1.97807,0.404428,1.14898,0.340741,1.03087,0.785391,0.390533,0.620963,0.875711,-0.196544,-0.22665,0.954451,-0.1537,-0.116646,-0.301916,-0.233598,-0.256757,-0.263704,-0.285705,-0.292653,-0.248651,-0.235914,-0.252125,-0.278758,-0.2776,-0.288021,-0.301916,-0.256757,-0.250967,-0.282231,-0.26602,-0.281073,-0.323917,-0.274126,-0.201175,-0.180333,-0.323917,-0.274126,-0.201175,-0.180333,-0.325075,-0.336655,-0.336655,-0.336655,-0.325075,-0.336655,-0.336655,-0.336655,-0.323917,-0.274126,-0.201175,-0.180333,-0.24923,-0.166437,-0.322457,-0.0874149,-0.160648,-0.165279,-0.323125,-0.164209,-0.0929079,-0.224913,-0.324078,-0.152631,-0.336655,-0.336655,-0.336655,-0.336655,-0.246914,-0.175701,-0.322321,-0.157174,-0.175122,-0.090013,-0.324902,-0.0452052,accident
7.49993,3.09184,0.27941,1.09949,0.863002,0.673557,0.779087,-0.151609,0.452326,1.11475,-0.170681,-0.199924,1.28894,-0.170681,-0.0867655,-0.283839,-0.234253,-0.25841,-0.271125,-0.295282,-0.280025,-0.309268,-0.257139,-0.273667,-0.288925,-0.28511,-0.268582,-0.329611,-0.244424,-0.282568,-0.286382,-0.269853,-0.281296,-0.335968,-0.335968,-0.184667,-0.0994799,-0.33724,-0.349954,-0.349954,-0.349954,-0.335968,-0.335968,-0.184667,-0.0994799,-0.33724,-0.349954,-0.349954,-0.349954,-0.335968,-0.335968,-0.184667,-0.0994799,-0.252689,-0.173859,-0.334483,-0.0371307,-0.170681,-0.141437,-0.335192,-0.151452,-0.0950298,-0.203102,-0.336081,-0.0943642,-0.349954,-0.349954,-0.349954,-0.349954,-0.349954,-0.349954,-0.349954,-0.349954,-0.178945,-0.0587937,-0.337189,-0.0203952,accident
7.65583,2.70943,-0.0212641,1.30138,0.603002,0.851704,0.819046,0.393239,0.332947,1.11673,-0.177017,-0.168224,1.07717,-0.145615,-0.0715069,-0.219723,-0.219723,-0.232284,-0.238564,-0.269966,-0.251125,-0.236052,-0.220979,-0.242332,-0.285039,-0.272478,-0.236052,-0.298855,-0.262429,-0.258661,-0.273734,-0.258661,-0.247357,-0.321465,-0.334025,-0.334025,-0.334025,-0.321465,-0.334025,-0.334025,-0.334025,-0.321465,-0.334025,-0.334025,-0.334025,-0.321465,-0.334025,-0.334025,-0.334025,-0.321465,-0.334025,-0.334025,-0.334025,-0.218467,-0.141219,-0.318666,-0.00540164,-0.207162,-0.158176,-0.318667,0.0277587,-0.0570621,-0.165084,-0.31987,-0.0544857,-0.334025,-0.334025,-0.334025,-0.334025,-0.334025,-0.334025,-0.334025,-0.334025,-0.161944,-0.018752,-0.32138,-0.0243519,accident
8.13796,-0.303055,0.43997,1.14456,1.06898,0.670564,0.78458,0.186316,0.541175,1.08691,-0.153169,-0.169823,1.22783,-0.137796,-0.0737423,-0.206974,-0.206974,-0.231315,-0.256936,-0.267185,-0.264623,-0.228753,-0.208255,-0.241563,-0.262061,-0.259499,-0.259499,-0.290244,-0.227472,-0.241563,-0.259499,-0.242845,-0.251812,-0.309461,-0.239001,-0.108331,-0.136515,-0.310742,-0.323552,-0.323552,-0.323552,-0.309461,-0.239001,-0.108331,-0.136515,-0.310742,-0.323552,-0.323552,-0.323552,-0.309461,-0.239001,-0.108331,-0.136515,-0.226831,-0.158934,-0.308062,0.0100756,-0.135234,-0.125626,-0.308477,-0.129095,-0.0647747,-0.198007,-0.309538,-0.0632184,-0.323552,-0.323552,-0.323552,-0.323552,-0.323552,-0.323552,-0.323552,-0.323552,-0.146764,-0.0378721,-0.310657,-4.40142e-05,accident
